country,league_name,base_url,year_start,league_type,fixtures_url
Belgium,Jupiler League,https://www.football-data.co.uk/mmz4281/{}/B1.csv,2015,main,https://footystats.org/belgium/pro-league/fixtures
England,Premier League,https://www.football-data.co.uk/mmz4281/{}/E0.csv,2015,main,https://footystats.org/england/premier-league/fixtures
France,Le Championnat,https://www.football-data.co.uk/mmz4281/{}/F1.csv,2015,main,https://footystats.org/france/ligue-1/fixtures
Germany,Bundesliga 1,https://www.football-data.co.uk/mmz4281/{}/D1.csv,2015,main,https://footystats.org/germany/bundesliga/fixtures
Greece,Ethniki Katigoria,https://www.football-data.co.uk/mmz4281/{}/G1.csv,2015,main,https://footystats.org/greece/super-league/fixtures
Italy,Serie A,https://www.football-data.co.uk/mmz4281/{}/I1.csv,2015,main,https://footystats.org/italy/serie-a/fixtures
Netherlands,Eredivisie,https://www.football-data.co.uk/mmz4281/{}/N1.csv,2015,main,https://footystats.org/netherlands/eredivisie/fixtures
Portugal,Liga I,https://www.football-data.co.uk/mmz4281/{}/P1.csv,2015,main,https://footystats.org/portugal/liga-nos/fixtures
Scotland,Premier League,https://www.football-data.co.uk/mmz4281/{}/SC0.csv,2015,main,https://footystats.org/scotland/premiership/fixtures
Spain,La Liga Primera Division,https://www.football-data.co.uk/mmz4281/{}/SP1.csv,2015,main,https://footystats.org/spain/la-liga/fixtures
Turkey,Futbol Ligi 1,https://www.football-data.co.uk/mmz4281/{}/T1.csv,2015,main,https://footystats.org/turkey/super-lig/fixtures
Brazil,Serie A,https://www.football-data.co.uk/new/BRA.csv,2015,extra,https://footystats.org/brazil/serie-a/fixtures
Sweden,Allsvenskan,https://www.football-data.co.uk/new/SWE.csv,2015,extra,https://footystats.org/sweden/allsvenskan/fixtures
