Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2025-11-09,2025,St Truiden,Standard,1,0,H,U,2.02,3.49,3.43,2.0,3.0,9.0,1.0,8,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,-1.0,0.0,-3.0,3.0,0.0,1.0,-1.0,0.0,1.0,-1.0,57.1,28.6,33.3,66.7,16.0,6.0,14.0,9.0
2025-11-09,2025,Mechelen,St. Gilloise,1,1,D,U,5.07,4.13,1.58,1.0,4.0,4.0,10.0,7,0.0,2.0,1.0,1.0,2.0,6.0,-4.0,4.0,3.0,1.0,-2.0,3.0,-5.0,0.0,1.0,-1.0,1.0,0.0,1.0,33.3,16.7,57.1,14.3,10.0,16.0,18.0,13.0
2025-11-09,2025,Gent,Genk,1,1,D,U,3.08,3.54,2.14,4.0,2.0,6.0,2.0,7,3.0,2.0,0.0,0.0,9.0,5.0,4.0,1.0,3.0,-2.0,8.0,2.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,66.7,16.7,42.9,28.6,12.0,16.0,10.0,14.0
2025-11-09,2025,Anderlecht,Club Brugge,1,0,H,U,2.8,3.62,2.29,3.0,3.0,6.0,5.0,8,3.0,3.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,57.1,14.3,57.1,28.6,22.0,13.0,23.0,24.0
2025-11-08,2025,Charleroi,Westerlo,2,0,H,U,2.07,3.53,3.26,8.0,5.0,7.0,5.0,7,1.0,0.0,2.0,1.0,2.0,5.0,-3.0,4.0,7.0,-3.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,33.3,33.3,16.7,50.0,11.0,10.0,16.0,8.0
2025-11-08,2025,Cercle Brugge,Oud-Heverlee Leuven,1,2,A,O,2.05,3.47,3.36,5.0,4.0,8.0,3.0,8,0.0,0.0,1.0,2.0,5.0,1.0,4.0,7.0,5.0,2.0,-2.0,-4.0,2.0,0.0,0.0,0.0,1.0,2.0,-1.0,14.3,42.9,16.7,66.7,18.0,14.0,14.0,14.0
2025-11-08,2025,Antwerp,RAAL La Louviere,3,1,H,O,2.16,3.2,3.37,5.0,1.0,7.0,4.0,7,0.0,1.0,2.0,0.0,2.0,3.0,-1.0,4.0,2.0,2.0,-2.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,16.7,50.0,21.0,7.0,14.0,6.0
2025-11-07,2025,Dender,Waregem,2,2,D,O,2.43,3.44,2.72,4.0,3.0,6.0,5.0,7,0.0,1.0,2.0,0.0,1.0,3.0,-2.0,4.0,2.0,2.0,-3.0,1.0,-4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.7,33.3,33.3,10.0,14.0,9.0,15.0
2025-11-02,2025,Westerlo,Genk,0,1,A,U,3.0,3.83,2.1,1.0,4.0,4.0,4.0,7,1.0,1.0,1.0,0.0,3.0,5.0,-2.0,3.0,4.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0,33.3,33.3,33.3,15.0,15.0,24.0,17.0
2025-11-02,2025,St Truiden,Antwerp,1,0,H,U,2.03,3.49,3.45,9.0,1.0,6.0,4.0,7,0.0,0.0,2.0,2.0,3.0,0.0,3.0,7.0,3.0,4.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,33.3,0.0,50.0,10.0,5.0,16.0,11.0
2025-11-02,2025,RAAL La Louviere,Cercle Brugge,2,1,H,O,2.62,3.21,2.65,3.0,4.0,1.0,5.0,7,1.0,1.0,0.0,0.0,1.0,4.0,-3.0,0.0,1.0,-1.0,1.0,3.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,33.3,16.7,20.0,20.0,9.0,16.0,19.0,13.0
2025-11-02,2025,Oud-Heverlee Leuven,Gent,4,0,H,O,2.42,3.38,2.77,4.0,4.0,0.0,9.0,7,0.0,1.0,2.0,2.0,2.0,5.0,-3.0,4.0,7.0,-3.0,-2.0,-2.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,16.7,50.0,33.3,50.0,15.0,15.0,8.0,16.0
2025-11-01,2025,Waregem,St. Gilloise,1,4,A,O,4.58,3.85,1.68,3.0,9.0,2.0,5.0,7,3.0,2.0,0.0,1.0,8.0,3.0,5.0,1.0,2.0,-1.0,7.0,1.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,50.0,33.3,50.0,16.7,22.0,11.0,9.0,14.0
2025-11-01,2025,Club Brugge,Dender,2,1,H,O,1.23,6.11,10.5,5.0,5.0,7.0,4.0,6,2.0,0.0,0.0,2.0,8.0,2.0,6.0,5.0,6.0,-1.0,3.0,-4.0,7.0,1.0,0.0,1.0,0.0,1.0,-1.0,80.0,0.0,0.0,66.7,16.0,16.0,17.0,11.0
2025-11-01,2025,Anderlecht,Mechelen,3,1,H,O,1.59,4.1,4.95,7.0,1.0,9.0,2.0,7,2.0,2.0,0.0,0.0,2.0,6.0,-4.0,0.0,2.0,-2.0,2.0,4.0,-2.0,0.0,2.0,-2.0,0.0,0.0,0.0,50.0,16.7,50.0,16.7,17.0,15.0,22.0,12.0
2025-10-31,2025,Standard,Charleroi,3,1,H,O,2.76,3.13,2.55,5.0,4.0,4.0,5.0,7,1.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,5.0,-2.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,33.3,33.3,33.3,50.0,12.0,12.0,23.0,7.0
2025-10-26,2025,St. Gilloise,St Truiden,2,0,H,U,1.35,4.92,7.66,6.0,2.0,5.0,6.0,6,3.0,1.0,0.0,1.0,7.0,4.0,3.0,1.0,4.0,-3.0,6.0,0.0,6.0,3.0,1.0,2.0,0.0,1.0,-1.0,100.0,0.0,40.0,20.0,14.0,17.0,15.0,17.0
2025-10-26,2025,Genk,RAAL La Louviere,1,1,D,U,1.47,4.39,6.12,7.0,2.0,9.0,3.0,6,1.0,1.0,2.0,1.0,3.0,4.0,-1.0,4.0,4.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,20.0,60.0,19.0,8.0,20.0,9.0
2025-10-26,2025,Cercle Brugge,Waregem,1,1,D,U,1.8,3.79,3.95,3.0,6.0,0.0,3.0,7,0.0,1.0,2.0,1.0,6.0,4.0,2.0,9.0,4.0,5.0,-3.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,16.7,50.0,40.0,40.0,17.0,11.0,18.0,16.0
2025-10-26,2025,Antwerp,Club Brugge,0,1,A,U,4.93,4.15,1.59,4.0,4.0,1.0,5.0,6,1.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,50.0,33.3,19.0,15.0,19.0,25.0
2025-10-25,2025,Westerlo,Dender,1,1,D,U,1.71,3.91,4.31,6.0,3.0,11.0,3.0,6,2.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,8.0,-6.0,2.0,-6.0,8.0,2.0,0.0,2.0,1.0,2.0,-1.0,60.0,40.0,0.0,80.0,18.0,17.0,18.0,12.0
